setup,direction,entry_ts,exit_ts,entry_t,exit_t,stop_t,target_t,risk_ticks,pnl_ticks,pnl_usd,r_multiple,reason,mae_ticks,mfe_ticks,trend,lvn_strength,absorption_ratio,aggressor_share,stacked,hour
structure,-1,2024-01-02 15:05:18.861718,2024-01-02 15:35:37.752092,19966.0,19924.0,19965.0,19924.0,21.0,42.0,51.26,2.0,objectif,-15.0,44.0,-1,0.0,6.748387096774193,0.5026290630975143,1,15
lvn,1,2024-01-03 10:19:18.575148,2024-01-03 10:31:13.389824,19957.0,19975.0,19958.0,19975.0,9.0,18.0,21.26,2.0,objectif,-8.0,18.0,-1,0.7719904076738608,5.7612903225806456,0.5041993281075028,1,10
structure,-1,2024-01-03 10:39:18.926555,2024-01-03 10:43:39.312403,19989.0,19977.0,19995.0,19977.0,6.0,12.0,13.76,2.0,objectif,-4.0,13.0,-1,0.0,2.697674418604651,0.5591954022988506,1,10
lvn,-1,2024-01-03 12:13:33.972796,2024-01-03 12:17:34.555247,20053.0,20035.0,20052.0,20035.0,9.0,18.0,21.26,2.0,objectif,-7.0,19.0,0,0.870063119927863,5.070658682634731,0.5092111478507322,1,12
lvn,1,2024-01-04 11:16:56.173921,2024-01-04 11:42:24.316250,20113.0,20155.0,20114.0,20155.0,21.0,42.0,51.26,2.0,objectif,-18.0,45.0,0,0.90775956284153,6.695331695331696,0.5412844036697247,1,11
lvn,-1,2024-01-05 11:11:43.937565,2024-01-05 11:17:49.277085,20214.0,20214.0,20213.0,20202.0,6.0,-0.0,-1.24,-0.0,breakeven,-5.0,6.0,1,0.8766973280770916,4.761670761670762,0.5283797729618163,1,11
lvn,1,2024-01-05 12:25:03.166856,2024-01-05 12:28:07.989546,20147.0,20157.0,20148.0,20157.0,5.0,10.0,11.26,2.0,objectif,-3.0,14.0,-1,0.8261060008760404,5.235849056603773,0.536036036036036,1,12
structure,-1,2024-01-05 13:12:20.810230,2024-01-05 13:13:02.896150,20166.0,20176.0,20175.0,20148.0,9.0,-10.0,-13.74,-1.1111111111111112,stop,-9.0,0.0,-1,0.0,5.505664263645726,0.5839880284324729,1,13
structure,1,2024-01-08 10:03:17.598986,2024-01-08 10:13:27.552297,19932.0,19914.0,19915.0,19966.0,17.0,-18.0,-23.74,-1.0588235294117647,stop,-23.0,9.0,1,0.0,4.286016949152542,0.5210084033613446,1,10
lvn,-1,2024-01-08 13:22:15.041826,2024-01-08 13:26:09.817350,20116.0,20108.0,20115.0,20108.0,4.0,8.0,8.76,2.0,objectif,-2.0,14.0,1,0.9057784732312507,3.7223168654173766,0.5153318077803204,1,13
lvn,-1,2024-01-08 13:38:40.814263,2024-01-08 13:41:15.462720,20132.0,20140.0,20139.0,20118.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-7.0,1.0,1,0.8801833016653627,4.706706706706707,0.5559336452573373,1,13
lvn,1,2024-01-09 10:09:56.877305,2024-01-09 10:13:26.521034,20053.0,20065.0,20047.0,20065.0,6.0,12.0,13.76,2.0,objectif,-4.0,13.0,0,0.9349176343505265,6.3547400611620795,0.519730510105871,1,10
structure,1,2024-01-09 13:40:34.382983,2024-01-09 14:08:22.064819,20137.0,20137.0,20138.0,20179.0,21.0,0.0,-1.24,0.0,breakeven,-9.0,39.0,1,0.0,7.38785046728972,0.5436432637571158,1,13
lvn+structure,1,2024-01-10 13:23:36.575585,2024-01-10 14:03:14.700191,20238.0,20238.0,20239.0,20280.0,21.0,0.0,-1.24,0.0,breakeven,-4.0,31.0,1,0.8824139122423126,6.1152882205513786,0.5782786885245902,1,13
lvn,1,2024-01-10 14:40:48.630124,2024-01-10 14:41:44.930099,20260.0,20268.0,20261.0,20268.0,4.0,8.0,8.76,2.0,objectif,-2.0,15.0,0,0.8772661173048958,9.803707742639041,0.5139043381535039,1,14
lvn,-1,2024-01-11 09:57:56.507424,2024-01-11 10:01:33.981483,20302.0,20288.0,20301.0,20288.0,7.0,14.0,16.26,2.0,objectif,-5.0,16.0,1,0.9538753730668355,3.0642927794263106,0.5125887669464171,1,9
